"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","4","Bieg","10","3:44,6","30:30","1,00","3:45","3:49","161","169","5","1","187","209","50,3% L / 49,7% P","1,40","8,6","6,0","483","490","6.32","559","7.21","67","16,0","3:34","191","3:44,6","3:45"
"","","Regeneracja","11","1:15","31:45","0,15","8:19","7:26","150","168","1","0","154","334","49,7% L / 50,3% P","0,85","7,6","8,9","351","248","3.20","561","7.23","19","17,0","3:46","184","1:13","8:06"
"","5","Bieg","12","3:45,8","35:31","1,00","3:46","3:53","158","166","1","6","186","210","50,4% L / 49,6% P","1,41","8,7","6,1","437","445","5.74","505","6.51","65","16,0","3:37","190","3:45","3:45"
"","","Regeneracja","13","1:15","36:46","0,16","7:59","7:14","150","166","0","0","156","323","49,7% L / 50,3% P","0,89","8,0","8,8","329","240","3.09","502","6.47","18","16,0","3:41","188","1:13","7:46"
"","6","Bieg","14","3:47,3","40:33","1,00","3:47","3:52","158","165","2","5","186","211","50,3% L / 49,7% P","1,40","8,8","6,1","442","448","5.78","512","6.60","66","16,0","3:34","189","3:47,3","3:47"
"","","Regeneracja","15","1:15","41:48","0,14","8:54","7:51","145","165","0","0","153","337","49,5% L / 50,5% P","0,83","7,3","8,9","314","213","2.75","471","6.07","16","17,0","3:50","187","1:13","8:39"
"","7","Bieg","16","3:47,9","45:36","1,00","3:48","3:51","160","167","5","5","187","211","50,1% L / 49,9% P","1,39","8,5","6,1","480","486","6.27","539","6.95","67","16,0","3:40","191","3:47,9","3:48"
"","","Regeneracja","17","1:15","46:51","0,15","8:29","7:46","148","168","1","0","152","348","49,1% L / 50,9% P","0,84","7,2","8,5","328","233","3.00","451","5.81","17","16,0","3:50","178","1:13","8:15"
"","8","Bieg","18","3:49,0","50:40","1,00","3:49","3:51","160","168","5","0","187","211","50,0% L / 50,0% P","1,38","8,5","6,0","477","485","6.25","550","7.09","68","16,0","3:37","190","3:49,0","3:49"
"","","Regeneracja","19","1:15","51:55","0,15","8:31","7:22","150","167","1","0","152","348","49,6% L / 50,4% P","0,85","7,3","8,5","349","246","3.17","517","6.67","18","16,0","3:49","186","1:13","8:17"
"","9","Bieg","20","3:47,4","55:42","1,00","3:47","3:53","158","165","1","5","187","211","50,3% L / 49,8% P","1,39","8,6","6,1","438","444","5.72","493","6.36","66","16,0","3:36","191","3:47","3:47"
"","","Regeneracja","21","1:15","56:57","0,15","8:27","7:17","146","164","0","0","153","355","49,8% L / 50,2% P","0,91","7,1","7,6","319","226","2.91","485","6.25","16","16,0","3:46","185","1:13","8:14"
"","10","Bieg","22","3:44,6","1:00:42","1,00","3:45","3:55","158","167","1","6","188","210","50,1% L / 49,9% P","1,40","8,6","6,0","435","443","5.71","520","6.70","66","16,0","3:37","200","3:44,6","3:45"
"","","Regeneracja","23","1:15","1:01:57","0,14","9:04","8:08","146","166","0","1","150","365","49,8% L / 50,2% P","0,80","7,2","9,1","321","207","2.67","498","6.42","15","16,0","3:45","186","1:13","8:50"
"","11","Bieg","24","3:49,7","1:05:47","1,00","3:50","3:52","160","166","5","2","188","212","50,0% L / 50,0% P","1,37","8,5","6,1","480","486","6.27","556","7.17","68","16,0","3:41","191","3:49","3:49"
"","","Regeneracja","25","1:15","1:07:02","0,14","8:38","7:46","150","164","1","0","152","360","49,5% L / 50,5% P","0,86","6,8","7,8","330","226","2.91","487","6.28","17","16,0","3:55","186","1:13","8:24"
"","12","Bieg","26","3:48,2","1:10:50","1,00","3:48","3:53","161","168","5","2","189","211","50,0% L / 50,0% P","1,37","8,3","5,9","475","481","6.20","539","6.95","68","15,0","3:33","193","3:48","3:48"
"","","Regeneracja","27","1:15","1:12:05","0,14","9:03","7:46","150","168","2","0","151","355","49,3% L / 50,7% P","0,84","7,1","8,4","330","229","2.95","523","6.74","16","15,0","3:56","188","1:13","8:48"
"","13","Bieg","28","3:43,1","1:15:48","1,00","3:43","3:51","158","166","0","3","188","209","50,0% L / 50,0% P","1,40","8,5","6,0","440","447","5.76","523","6.74","66","15,0","3:34","191","3:43,1","3:43"
"","","Regeneracja","29","1:15","1:17:03","0,15","8:15","7:17","147","165","0","1","153","346","49,5% L / 50,5% P","0,85","7,3","8,3","334","231","2.98","510","6.57","16","16,0","3:39","187","1:13","8:01"
"","14","Bieg","30","3:39,4","1:20:42","1,00","3:39","3:45","160","168","2","4","189","207","50,0% L / 50,0% P","1,43","8,4","5,8","450","458","5.90","499","6.43","65","15,0","3:27","193","3:39","3:39"
"","","Schładzanie","31 - 32","8:19,0","1:29:01","1,55","5:22","5:20","140","168","4","3","170","263","50,0% L / 50,0% P","1,10","9,4","8,4","360","352","4.54","495","6.38","120","16,0","3:34","186","8:18","5:21"
"","","Schładzanie","31","5:30,9","1:26:13","1,00","5:31","5:26","142","168","4","3","169","266","49,9% L / 50,1% P","1,08","9,3","8,5","363","351","4.53","495","6.38","79","16,0","3:34","186","5:30,9","5:31"
"","","Schładzanie","32","2:48,2","1:29:01","0,55","5:06","5:10","138","141","0","1","172","257","50,2% L / 49,8% P","1,14","9,4","8,1","353","355","4.58","403","5.20","41","16,0","4:44","178","2:47","5:04"
"","Podsumowanie","--","--","1:29:01","1:29:01","20,01","4:27","4:27","152","169","66","68","178","242","50,1% L / 49,9% P","1,25","8,7","7,0","431","408","5.26","564","7.27","1.452","16,7","3:27","200","1:28:45","4:26"
